label,sublabel,description,styles,bgcolor
もやせるごみ,,,img/moyasu02.svg,#ea3b13
大型可燃ごみ,,,img/moyasanai02.svg,#ff9f37
もやせないごみ,,,img/moyasanai02.svg,#733b96
缶ビン食品トレイ,,,img/bin02.svg,#2dc7aa
古紙古着,,,img/shigen02.svg,#77ae1f
ペットボトル,,,img/shigen02.svg,#08b925
